name,height,formats,generation_x,format codes,Weaknesses,Strong Weaknesses,Resists,Strong Resists,Immune,STAB,Resistance Index,Entry Hazards,Hazard Removal,Removal Deterrent,Cleric,Pivot,Item Removal,Setup,Priority,HP Drain,HP Recovery,Weather Set,Weather Gimmick,Physical Cutoff 1,Physical Cutoff 2,Physical Cutoff 3,Physical Cutoff 4,Physical Cutoff 5,Physical Cutoff 6,Physical Coverage 1,Physical Coverage 2,Physical Coverage 3,Physical Coverage 4,Special Cutoff 1,Special Cutoff 2,Special Cutoff 3,Special Cutoff 4,Special Cutoff 5,Special Cutoff 6,Special Cutoff 7,Special Coverage 1,Special Coverage 2,Special Coverage 3,Special Coverage 4,Special Coverage 5,Special Coverage 6,Special Coverage 7,Special Coverage 8,Special Coverage 9,Special Coverage 10,Misc Status,Unique Powerful Move,Ability Cutoff 1,Ability Cutoff 2,Ability Cutoff 3,Ability Cutoff 4,Ability Cutoff 5,Ability Cutoff 6,Best Ability,Best Ability <100,Unique Powerful Ability,oldformats,oldformat codes,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp_y,japanese_name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation_y,is_legendary,moveset,vgc_usage_percent,vgc_usage_year,type1_analysis,type2_analysis,ability1,ability2,hidden_ability
venusaur,2.0,OU,RB,5,4,0,4,1,0,2,2,0,0,0,0,0,2,4,0,2,1,0,5,10,9,6,4,2,2,6,6,4,3,6,6,6,6,4,3,2,4,4,4,4,4,2,2,2,2,2,4,0,1,1,0,0,0,0,63.63636364,63.63636364,0,UU,4,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,5120,70,625,45,Seed Pokémon,123,1059860,2.0,80,Fushigibanaフシギバナ,88.1,3,122,120,80,grass,poison,100.0,1,0,"Giga Drain, Growth, Sludge Bomb, Solar Beam, Weather Ball",20.83915,Smogon_VGC_Usage_2022,grass,poison,overgrow,No_ability,chlorophyll
charizard,1.7,PU,RB,1,2,1,4,2,1,2,8,0,1,0,0,0,0,4,1,0,1,0,3,29,21,14,11,4,2,12,12,10,4,12,11,11,11,9,7,5,7,7,7,7,5,4,4,3,2,2,3,0,1,1,0,0,0,0,50.0,50.0,0,PU,1,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,70,634,45,Flame Pokémon,78,1059860,1.7,78,Lizardonリザードン,88.1,6,159,115,100,fire,flying,90.5,1,0,"Defog, Dragon Dance, Earthquake, Fire Blast, Flare Blitz, Focus Blast, Hurricane, Roost, Thunder Punch, Toxic",20.53,Worlds_VGC_Usage_2022,fire,flying,blaze,No_ability,solar-power
blastoise,1.6,NU,RB,2,2,0,4,0,0,1,2,0,1,0,0,3,0,5,2,0,0,0,2,25,18,12,10,5,1,10,10,10,3,13,12,11,10,8,6,4,9,8,8,7,7,4,4,3,2,2,2,0,1,1,1,1,0,0,75.0,75.0,0,NU,2,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,5120,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,88.1,9,135,115,78,water,,85.5,1,0,"Dark Pulse, Ice Beam, Shell Smash, Substitute, Surf",4.98,Worlds_VGC_Usage_2022,water,No_type,torrent,No_ability,rain-dish
pikachu,0.4,PU,RB,1,1,0,3,0,0,1,2,0,0,0,1,3,2,4,2,1,0,0,2,20,10,7,5,2,1,9,8,7,3,6,6,5,5,4,2,1,5,4,3,3,3,1,1,1,0,0,3,0,1,1,1,0,0,0,70.0,70.0,0,ZU,0,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,50.0,25,50,50,90,electric,,6.0,1,0,"Extreme Speed, Fake Out, Grass Knot, Knock Off, Surf, Thunderbolt, Volt Switch",0.15854,Smogon_VGC_Usage_2022,electric,No_type,static,No_ability,lightning-rod
raichu,0.8,PU,RB,1,1,0,3,0,0,1,2,0,0,0,1,3,2,4,2,1,0,0,2,21,10,7,5,2,1,9,8,7,3,7,7,6,6,5,3,1,6,5,4,4,4,3,3,3,1,1,3,0,1,1,1,0,0,0,70.0,70.0,0,ZU,0,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75,Mouse Pokémon,50,1000000,,60,Raichuライチュウ,50.0,26,95,85,110,electric,electric,,1,0,"Focus Blast, Grass Knot, Nasty Plot, Surf, Thunderbolt, Volt Switch",5.14672,Smogon_VGC_Usage_2022,electric,No_type,static,No_ability,lightning-rod
sandslash,1.0,PU,RB,1,3,0,2,0,1,1,3,3,1,0,0,0,2,4,0,1,0,0,5,24,17,10,7,3,2,10,10,8,3,4,3,3,3,3,2,0,3,3,3,3,3,2,2,2,1,1,1,0,1,1,1,0,0,0,66.66666667,66.66666667,0,ZU,0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90,Mouse Pokémon,120,1000000,,75,Sandpanサンドパン,50.0,28,25,65,65,ground,ice,,1,0,"Earthquake, Knock Off, Rapid Spin, Spikes, Stealth Rock, Toxic",0.00383,Smogon_VGC_Usage_2023,ground,No_type,sand-veil,No_ability,sand-rush
nidoqueen,1.3,UU,RB,4,4,0,4,1,1,2,6,2,0,0,0,0,0,2,2,0,0,0,2,35,27,18,13,6,2,15,15,12,3,18,16,15,14,13,10,6,10,10,10,10,10,5,5,2,1,1,2,0,1,1,0,0,0,0,50.0,50.0,0,UU,4,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,0.0,31,75,85,76,poison,ground,60.0,1,0,"Earth Power, Fire Blast, Sludge Wave, Stealth Rock, Toxic Spikes",3e-05,Smogon_VGC_Usage_2022,poison,ground,poison-point,rivalry,sheer-force
nidoking,1.4,OU,RB,5,4,0,4,1,1,2,6,2,0,0,0,0,0,2,2,0,0,0,2,37,29,19,14,7,2,15,14,13,5,18,16,15,14,13,10,6,11,11,11,10,10,5,5,2,1,1,2,0,1,1,0,0,0,0,50.0,50.0,0,OU,5,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,100.0,34,85,75,85,poison,ground,62.0,1,0,"Earth Power, Flamethrower, Ice Beam, Sludge Wave, Thunder, Thunderbolt",0.01135,Smogon_VGC_Usage_2022,poison,ground,poison-point,rivalry,sheer-force
clefairy,0.6,PU,RB,1,2,0,3,0,1,1,5,2,0,0,3,1,2,3,0,2,1,0,2,20,12,8,5,2,1,11,10,10,2,18,17,16,15,12,10,9,10,9,9,9,7,4,3,1,0,0,3,0,1,1,1,1,1,1,100.0,16.66666667,0,ZU,0,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,24.6,35,60,65,35,fairy,,7.5,1,0,"Flamethrower, Knock Off, Moonblast, Moonlight, Protect, Soft-Boiled, Stealth Rock, Teleport, Thunder Wave, Wish",3.27868,Smogon_VGC_Usage_2023,fairy,No_type,cute-charm,magic-guard,friend-guard
clefable,1.3,Uber,RB,6,2,0,3,0,1,1,5,2,0,0,3,1,2,3,0,2,1,0,2,20,12,8,5,2,1,11,10,10,2,19,18,17,16,13,11,9,11,10,10,10,8,6,5,3,1,1,3,0,1,1,1,1,1,1,100.0,50.0,0,OU,5,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,24.6,36,95,90,60,fairy,,40.0,1,0,"Calm Mind, Flamethrower, Knock Off, Moonblast, Soft-Boiled, Stealth Rock, Thunder, Wish",3.93,Worlds_VGC_Usage_2024,fairy,No_type,cute-charm,magic-guard,unaware
